Placed player on floor 5, ypos=30, yy=0x0100

=== FORCING FALL from floor 5, yy=0100 ===
floor_ypos: 2 6 12 18 24 30 38 42 48 52 58 66 72 76 80 86 92 98 104 112 
Target: floor 4, ypos=24, target_yy=0x00D0
F407: st=5 fl=4 yy=FEA4 yvel=159(0x9F)
F408: st=5 fl=4 yy=FEA0 yvel=158(0x9E)
F409: st=5 fl=4 yy=FE9C yvel=157(0x9D)
F410: st=5 fl=4 yy=FE98 yvel=156(0x9C)
F411: st=5 fl=4 yy=FE94 yvel=155(0x9B)
F412: st=5 fl=4 yy=FE90 yvel=154(0x9A)
F413: st=5 fl=4 yy=FE8C yvel=153(0x99)
F414: st=5 fl=4 yy=FE88 yvel=152(0x98)
F415: st=5 fl=4 yy=FE84 yvel=151(0x97)
F416: st=5 fl=4 yy=FE80 yvel=150(0x96)
F417: st=5 fl=4 yy=FE7C yvel=149(0x95)
F418: st=5 fl=4 yy=FE78 yvel=148(0x94)
F419: st=5 fl=4 yy=FE74 yvel=147(0x93)
F420: st=5 fl=4 yy=FE70 yvel=146(0x92)
F421: st=5 fl=4 yy=FE6C yvel=145(0x91)
F422: st=5 fl=4 yy=FE68 yvel=144(0x90)
F423: st=5 fl=4 yy=FE64 yvel=143(0x8F)
F424: st=5 fl=4 yy=FE60 yvel=142(0x8E)
F425: st=5 fl=4 yy=FE5C yvel=141(0x8D)
F426: st=5 fl=4 yy=FE58 yvel=140(0x8C)
F427: st=5 fl=4 yy=FE54 yvel=139(0x8B)
F428: st=5 fl=4 yy=FE50 yvel=138(0x8A)
F429: st=5 fl=4 yy=FE4C yvel=137(0x89)
F430: st=5 fl=4 yy=FE48 yvel=136(0x88)
F431: st=5 fl=4 yy=FE44 yvel=135(0x87)
F432: st=5 fl=4 yy=FE40 yvel=134(0x86)
F433: st=5 fl=4 yy=FE3C yvel=133(0x85)
F434: st=5 fl=4 yy=FE38 yvel=132(0x84)
F435: st=5 fl=4 yy=FE34 yvel=131(0x83)
F436: st=5 fl=4 yy=FE30 yvel=130(0x82)
F437: st=5 fl=4 yy=FE2C yvel=129(0x81)
F438: st=5 fl=4 yy=FE28 yvel=128(0x80)
F439: st=5 fl=4 yy=FE24 yvel=127(0x7F)
F440: st=5 fl=4 yy=FE28 yvel=126(0x7E)
F441: st=5 fl=4 yy=FE2C yvel=125(0x7D)
F442: st=5 fl=4 yy=FE30 yvel=124(0x7C)
F443: st=5 fl=4 yy=FE34 yvel=123(0x7B)
F444: st=5 fl=4 yy=FE38 yvel=122(0x7A)
F445: st=5 fl=4 yy=FE3C yvel=121(0x79)
F446: st=5 fl=4 yy=FE40 yvel=120(0x78)
F447: st=5 fl=4 yy=FE44 yvel=119(0x77)
F448: st=5 fl=4 yy=FE48 yvel=118(0x76)
F449: st=5 fl=4 yy=FE4C yvel=117(0x75)
F450: st=5 fl=4 yy=FE50 yvel=116(0x74)
F451: st=5 fl=4 yy=FE54 yvel=115(0x73)
F452: st=5 fl=4 yy=FE58 yvel=114(0x72)
F453: st=5 fl=4 yy=FE5C yvel=113(0x71)
F454: st=5 fl=4 yy=FE60 yvel=112(0x70)
F455: st=5 fl=4 yy=FE64 yvel=111(0x6F)
F456: st=5 fl=4 yy=FE68 yvel=110(0x6E)
F457: st=5 fl=4 yy=FE6C yvel=109(0x6D)
F458: st=5 fl=4 yy=FE70 yvel=108(0x6C)
F459: st=5 fl=4 yy=FE74 yvel=107(0x6B)
F460: st=5 fl=4 yy=FE78 yvel=106(0x6A)
